Date,Địa danh,Số ca,Buổi
04/30/2021,TP. Hồ Chí Minh,2,Tối
04/30/2021,Tây Ninh,1,Tối
04/30/2021,Sóc Trăng,2,Tối
04/30/2021,Bà Rịa - Vũng Tàu,5,Tối
04/30/2021,Hà Nam,2,Tối
04/30/2021,Hà Nội,2,Tối
04/30/2021,Hà Nội,1,Sáng
04/30/2021,Hưng Yên,2,Sáng
04/29/2021,Cần Thơ,17,Tối
04/29/2021,Long An,2,Tối
04/29/2021,BRVT,12,Tối
04/29/2021,Khánh Hòa,1,Tối
04/29/2021,Nghệ An,1,Tối
04/29/2021,Vĩnh Phúc,2,Tối
04/29/2021,Đà Nẵng,4,Tối
04/28/2021,Nam Định,1,Tối
04/28/2021,Đà Nẵng,1,Tối
04/27/2021,Thái Nguyên,1,Tối
04/27/2021,Hà Nội,1,Tối
04/27/2021,Khánh Hòa,2,Tối
04/27/2021,nơi cách ly ở Yên Bái,1,Tối
04/26/2021,TP. Hồ Chí Minh,2,Tối
04/26/2021,Bà Rịa - Vũng Tàu,1,Tối
04/26/2021,Quảng Nam,2,Sáng
04/26/2021,Đà Nẵng,1,Sáng
04/25/2021,Khánh Hòa,6,Tối
04/25/2021,Đà Nẵng,3,Tối
04/24/2021,Đà Nẵng,1,Tối
04/24/2021,Yên Bái,1,Sáng
04/24/2021,Thái Bình,1,Sáng
04/23/2021,Bà Rịa - Vũng Tàu,1,Tối
04/23/2021,Khánh Hòa,2,Tối
04/23/2021,An Giang,1,Tối
04/23/2021,TP. Hồ Chí Minh,1,Tối
04/23/2021,TP. Hồ Chí Minh,5,Sáng
04/23/2021,Nam Định,3,Sáng
04/22/2021,Hà Nội,1,Tối
04/22/2021,Đà Nẵng,2,Tối
04/22/2021,Phú Yên,1,Tối
04/22/2021,Thái Bình,4,Sáng
04/22/2021,Yên Bái,2,Sáng
04/21/2021,Khánh Hòa,2,Tối
04/21/2021,Đà Nẵng,3,Tối
04/20/2021,Hưng Yên,1,Tối
04/20/2021,Hòa Bình,2,Tối
04/20/2021,Nghệ An,1,Tối
04/20/2021,Đà Nẵng,5,Tối
04/20/2021,Hà Nội,1,Tối
04/19/2021,Yên Bái,1,Tối
04/19/2021,Phú Yên,1,Tối
04/19/2021,Tây Ninh,1,Tối
04/19/2021,TP. Hồ Chí Minh,3,Tối
04/19/2021,Đà Nẵng,1,Sáng
04/18/2021,Hòa Bình,1,Tối
04/18/2021,Khánh Hòa,1,Tối
04/18/2021,Bắc Ninh,1,Tối
04/17/2021,Khánh Hoà,6,Tối
04/17/2021,Kiên Giang,1,Tối
04/17/2021,Đà Nẵng,1,Tối
04/17/2021,Bắc Ninh,1,Sáng
04/16/2021,Khánh Hòa,6,Tối
04/16/2021,Đà Nẵng,1,Tối
04/16/2021,Nghệ An,2,Tối
04/16/2021,TP. Hồ Chí Minh,4,Tối
04/15/2021,An Giang,2,Tối
04/15/2021,TP. Hồ Chí Minh,5,Tối
04/15/2021,Thái Nguyên,1,Tối
04/15/2021,Đà Nẵng,7,Tối
04/15/2021,Kiên Giang,1,Sáng
04/15/2021,Khánh Hoà,3,Sáng
